code,num,sub,in_main,in_pr,status,axis
ff.12.2,12,2,no,no,available,societa
ff.12.3,12,3,no,no,available,tecnologia
ff.12.4,12,4,no,no,available,natura
ff.12.5,12,5,no,no,available,societa
ff.13.1,13,1,no,yes,used,societa
ff.13.2,13,2,no,no,available,societa
ff.13.3,13,3,no,no,available,societa
ff.13.4,13,4,no,no,available,natura
ff.14.1,14,1,no,no,available,natura
ff.14.2,14,2,no,no,available,societa
ff.14.3,14,3,no,no,available,societa
ff.14.4,14,4,no,no,available,natura
ff.15.1,15,1,no,no,available,natura
ff.15.2,15,2,no,no,available,tecnologia
ff.15.3,15,3,no,no,available,tecnologia
ff.15.4,15,4,no,no,available,societa
ff.15.5,15,5,no,no,available,tecnologia
ff.15.6,15,6,no,no,available,natura
ff.16.1,16,1,no,no,available,natura
ff.16.2,16,2,no,no,available,natura
ff.16.3,16,3,no,no,available,natura
ff.16.4,16,4,yes,yes,used,natura
ff.17.1,17,1,no,no,available,natura
ff.17.2,17,2,no,no,available,societa
ff.17.3,17,3,no,no,available,societa
ff.18.1,18,1,no,no,available,societa
ff.18.2,18,2,no,no,available,societa
ff.18.3,18,3,yes,no,used,tecnologia
ff.18.4,18,4,no,no,available,tecnologia
ff.18.5,18,5,yes,no,used,tecnologia
ff.19.1,19,1,yes,no,used,natura
ff.19.2,19,2,yes,no,used,natura
ff.19.3,19,3,yes,no,used,natura
ff.19.4,19,4,yes,no,used,natura
ff.19.5,19,5,yes,no,used,natura
ff.20.1,20,1,no,no,available,societa
ff.20.2,20,2,no,no,available,natura
ff.20.3,20,3,no,no,available,tecnologia
ff.20.4,20,4,no,no,available,natura
ff.21.1,21,1,no,no,available,societa
ff.21.2,21,2,no,no,available,natura
ff.21.3,21,3,no,no,available,societa
ff.21.4,21,4,no,no,available,societa
ff.22.1,22,1,yes,no,used,natura
ff.22.2,22,2,no,no,available,natura
ff.22.3,22,3,no,no,available,natura
ff.22.4,22,4,no,no,available,natura
ff.22.5,22,5,no,no,available,natura
ff.23.1,23,1,no,no,available,societa
ff.23.2,23,2,no,no,available,natura
ff.23.3,23,3,no,no,available,societa
ff.23.4,23,4,no,yes,used,societa
ff.24.1,24,1,no,no,available,tecnologia
ff.24.2,24,2,no,no,available,societa
ff.24.3,24,3,no,no,available,tecnologia
ff.24.4,24,4,no,no,available,tecnologia
ff.24.5,24,5,no,no,available,societa
ff.25.1,25,1,yes,no,used,natura
ff.25.2,25,2,yes,no,used,natura
ff.25.3,25,3,no,no,available,natura
ff.25.4,25,4,no,no,available,natura
ff.26.1,26,1,no,no,available,tecnologia
ff.26.2,26,2,no,no,available,natura
ff.26.3,26,3,no,yes,used,natura
ff.26.4,26,4,no,no,available,tecnologia
ff.26.5,26,5,no,no,available,natura
ff.27.1,27,1,no,no,available,natura
ff.27.2,27,2,no,no,available,societa
ff.27.3,27,3,no,no,available,natura
ff.28.1,28,1,no,no,available,natura
ff.28.2,28,2,no,no,available,natura
ff.28.3,28,3,no,no,available,tecnologia
ff.28.4,28,4,no,no,available,natura
ff.29.1,29,1,no,yes,used,societa
ff.29.2,29,2,no,no,available,societa
ff.29.3,29,3,no,no,available,societa
ff.29.4,29,4,no,no,available,societa
ff.30.1,30,1,no,no,available,tecnologia
ff.30.2,30,2,no,no,available,tecnologia
ff.30.3,30,3,no,no,available,tecnologia
ff.30.4,30,4,no,no,available,societa
ff.30.5,30,5,no,no,available,societa
ff.31.1,31,1,no,no,available,societa
ff.31.2,31,2,no,no,available,natura
ff.31.3,31,3,no,no,available,societa
ff.31.4,31,4,no,no,available,natura
ff.31.5,31,5,no,no,available,natura
ff.32.1,32,1,no,no,available,natura
ff.32.2,32,2,no,no,available,societa
ff.32.3,32,3,no,no,available,natura
ff.32.4,32,4,no,no,available,societa
ff.32.5,32,5,no,no,available,natura
ff.33.1,33,1,yes,yes,used,natura
ff.33.2,33,2,yes,yes,used,natura
ff.33.3,33,3,no,no,available,natura
ff.33.4,33,4,no,no,available,natura
ff.34.1,34,1,yes,yes,used,societa
